True Amplitude,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
6400,3.481770824082289e-06,2.0042112856240783e-05,4.749498684661125e-05,5.066988672877605e-05,6.275864194046507e-05,4.2137191840049786e-05,3.910696839522562e-05,4.565289692099403e-05
6500,3.4841783484489222e-06,2.0025379419142652e-05,4.7296745742201196e-05,5.00086780518551e-05,6.228231117639431e-05,4.057787918473675e-05,3.702008190874124e-05,4.2159488745791255e-05
6600,3.4865758990827654e-06,2.000421466891726e-05,4.7095157220912025e-05,4.933526638627406e-05,6.17320223331812e-05,3.9093245590659076e-05,3.51312958213858e-05,3.9462518248023735e-05
6700,3.488963460593254e-06,1.9978789435449737e-05,4.688423147717184e-05,4.8642135084003424e-05,6.110533561244843e-05,3.771768829269317e-05,3.3440640879596874e-05,3.690930055412262e-05
6800,3.491341017712312e-06,1.994928134091972e-05,4.6658054949770394e-05,4.792336448557661e-05,6.040352443673195e-05,3.648305384546303e-05,3.1953049875312665e-05,3.4228543236913486e-05
6900,3.4937085552945615e-06,1.9915874301678444e-05,4.6410872372734534e-05,4.7175133009294444e-05,5.96314147653548e-05,3.5413628076068945e-05,3.068338711255051e-05,3.1532559685885015e-05
7000,3.4960660583175257e-06,1.9878758012528558e-05,4.613717388298028e-05,4.6396084710657686e-05,5.879702377418323e-05,3.4523255245888276e-05,2.9655399811217485e-05,2.9051724283881595e-05
7100,3.498413511881836e-06,1.9838127415120594e-05,4.583178959226239e-05,4.558752442320366e-05,5.791101893490799e-05,3.381471854644415e-05,2.889499100272458e-05,2.6934605813214752e-05
7200,3.500750901211433e-06,1.9794182152236156e-05,4.548999356348638e-05,4.475341654983308e-05,5.6986030865422603e-05,3.328095721862668e-05,2.841998577649929e-05,2.5184382322947645e-05
7300,3.5030782116537657e-06,1.9747126009777048e-05,4.5107618091712734e-05,4.390018168250109e-05,5.6035863070630854e-05,3.290738504131428e-05,2.8229607969436886e-05,2.3694105556153435e-05
7400,3.505395428679985e-06,1.9697166348322207e-05,4.4681177593098025e-05,4.3036304378284234e-05,5.507464814100196e-05,3.267453865765867e-05,2.8296965464068872e-05,2.2325975588941786e-05
7500,3.507702537885142e-06,1.964451352614913e-05,4.420799935391852e-05,4.217178338544399e-05,5.4116002758491184e-05,3.256045573217509e-05,2.8567009295688296e-05,2.0986874614578883e-05
7600,3.509999524988371e-06,1.958938031564493e-05,4.368635607862147e-05,4.131747034485775e-05,5.3172232953062485e-05,3.254245075221414e-05,2.89609731694251e-05,1.966985108276887e-05
7700,3.512286375833084e-06,1.9531981315052848e-05,4.311559286645087e-05,4.048435287348838e-05,5.225363673632492e-05,3.2598214926318356e-05,2.9386646498677742e-05,1.8452575911276468e-05
7800,3.5145630763871517e-06,1.9472532357513394e-05,4.2496239251884296e-05,3.9682841969886956e-05,5.136794402379058e-05,3.2706349207439876e-05,2.975245401680865e-05,1.7461199531434606e-05
7900,3.5168296127430882e-06,1.9411249919365596e-05,4.183009558230732e-05,3.892212158445332e-05,5.051992431067946e-05,3.284652559213554e-05,2.9982618292591647e-05,1.6817515133384813e-05
8000,3.5190859711182275e-06,1.9348350529672286e-05,4.112028255614217e-05,3.8209610401019246e-05,4.971118163228598e-05,3.299947668022985e-05,3.0030914602273415e-05,1.6589139089227914e-05
8100,3.5213321378548994e-06,1.928405018292492e-05,4.037124340401714e-05,3.755057343816725e-05,4.894014467527242e-05,3.314696905888715e-05,2.9891613009296426e-05,1.675857155205532e-05
8200,3.52356809942061e-06,1.9218563756867172e-05,3.958869004702176e-05,3.69479055221272e-05,4.820224823162096e-05,3.327185468052944e-05,2.960751687841897e-05,1.7219655702652862e-05
8300,3.525793842408207e-06,1.9152104437353536e-05,3.877948755657103e-05,3.6402091796466704e-05,4.7490291156429635e-05,3.335823896404779e-05,2.927529467186247e-05,1.7801197128492503e-05
8400,3.528009353536045e-06,1.9084883152128426e-05,3.795147517895834e-05,3.591133405344312e-05,4.679494617468193e-05,3.339176604333104e-05,2.9046211627446662e-05,1.8309509307082403e-05
8500,3.5302146196481605e-06,1.901710801537403e-05,3.7113226761800596e-05,3.5471817476802565e-05,4.610538875860964e-05,3.336000202468853e-05,2.9115993930792357e-05,1.8576501219175173e-05
8600,3.532409627714426e-06,1.8948983784830444e-05,3.6273758227928485e-05,3.507808172538089e-05,4.5410006246009874e-05,3.3252891982355836e-05,2.9694198496893053e-05,1.8499052050503502e-05
8700,3.5345943648307147e-06,1.8880711333240614e-05,3.5442194339155395e-05,3.472345405650559e-05,4.469714466481969e-05,3.306326852983714e-05,3.094710120062548e-05,1.805899686645372e-05
8800,3.536768818219055e-06,1.8812487135814582e-05,3.462741093758783e-05,3.440050076085597e-05,4.3955849528256235e-05,3.278739091615656e-05,3.292252616780873e-05,1.731973872193437e-05
8900,3.538932975227786e-06,1.8744502775343428e-05,3.383767175939006e-05,3.410145639558744e-05,4.317655819768227e-05,3.2425485580429065e-05,3.5485039733655246e-05,1.6402861745318793e-05
9000,3.5410868233317096e-06,1.867694446652285e-05,3.308028049326464e-05,3.3818597509414946e-05,4.2351705168541284e-05,3.1982235477027105e-05,3.830065031363362e-05,1.5453572283720734e-05
9100,3.5432303501322396e-06,1.8609992600969904e-05,3.236126883391159e-05,3.354453770133965e-05,4.147620756741124e-05,3.146712416810414e-05,4.089739249813644e-05,1.4605726383378897e-05
9200,3.5453635433575436e-06,1.8543821314334483e-05,3.168513982550053e-05,3.3272432620704095e-05,4.0547805868677084e-05,3.089448776485078e-05,4.279288514901726e-05,1.395554805257758e-05
9300,3.547486390862691e-06,1.847859807681968e-05,3.10546829013792e-05,3.29960954569445e-05,3.956724384400665e-05,3.0283080855740524e-05,4.3641746714168205e-05,1.354917198272726e-05
9400,3.549598880629795e-06,1.841448330833257e-05,3.0470872921736964e-05,3.271003418186724e-05,3.853828145876437e-05,2.9654950591199635e-05,4.333957529164032e-05,1.3384631038053049e-05
9500,3.55170100076814e-06,1.8351630019389856e-05,2.9932860501676598e-05,3.24094300942534e-05,3.7467544197252866e-05,2.9033470102022754e-05,4.203790086728646e-05,1.342526148808302e-05
9600,3.553792739514328e-06,1.8290183478800908e-05,2.943805538094963e-05,3.209008220972419e-05,3.6364221511378006e-05,2.8440533419965264e-05,4.006698661180711e-05,1.3619338634509085e-05
9700,3.555874085232405e-06,1.8230280909045228e-05,2.898229891498234e-05,3.1748343304012315e-05,3.52396351801309e-05,2.7893156406813806e-05,3.780693783516752e-05,1.392005651494783e-05
9800,3.5579450264139894e-06,1.8172051210151725e-05,2.856011636287566e-05,3.1381070999879726e-05,3.410670487597102e-05,2.7400016213566932e-05,3.556805751616224e-05,1.4300486420509967e-05
9900,3.560005551678403e-06,1.8115614712774662e-05,2.816503487785599e-05,3.0985611698293996e-05,3.2979342828080225e-05,2.695870547751986e-05,3.352823294196872e-05,1.4759754204055593e-05
10000,3.5620556497727864e-06,1.8061082961045645e-05,2.7789949279247647e-05,3.055982729908898e-05,3.187181197297898e-05,2.655456361652744e-05,3.173870655269818e-05,1.5319305863963867e-05
10100,3.5640953095722306e-06,1.8008558525662973e-05,2.7427515037855995e-05,3.0102165711307944e-05,3.0798082367016154e-05,2.6161782550350108e-05,3.01743432154906e-05,1.601146430126042e-05
10200,3.5661245200798846e-06,1.795813484756006e-05,2.7070546586363782e-05,2.9611767403698728e-05,2.9771219023931082e-05,2.5747044344790544e-05,2.879090555409703e-05,1.686557068279733e-05
10300,3.5681432704270764e-06,1.7909896112373176e-05,2.6712399125381597e-05,2.9088592908887328e-05,2.8802830976783494e-05,2.527531417532614e-05,2.7562109822321736e-05,1.7898260758736778e-05
10400,3.570151549873426e-06,1.7863917155806757e-05,2.6347313489790344e-05,2.8533551254737586e-05,2.7902606580832443e-05,2.4716762783291583e-05,2.648966375149482e-05,1.911227152295648e-05
10500,3.5721493478069505e-06,1.7820263399871645e-05,2.5970706232552294e-05,2.7948607373228163e-05,2.7077954263143983e-05,2.4053352131015493e-05,2.559469487984317e-05,2.050239942395672e-05
10600,3.574136653744173e-06,1.777899081984939e-05,2.5579390657180484e-05,2.733684781038621e-05,2.6333761499678778e-05,2.3283568188099595e-05,2.490295648553391e-05,2.20604007991947e-05
10700,3.5761134573302306e-06,1.7740145941713673e-05,2.517171880582762e-05,2.6702488259292975e-05,2.567227816796268e-05,2.2424182639996928e-05,2.443232083702218e-05,2.376798222327237e-05
10800,3.578079748338967e-06,1.770376586961921e-05,2.474763906899247e-05,2.60508128962445e-05,2.509312395755483e-05,2.1508664486792492e-05,2.4185492304600297e-05,2.5573420377111777e-05
10900,3.580035516673036e-06,1.7669878342949866e-05,2.4308668795928616e-05,2.538804326969131e-05,2.459341354503062e-05,2.058270384656686e-05,2.4147331171422504e-05,2.7361932552546318e-05
11000,3.581980752364001e-06,1.7638501822300815e-05,2.3857785741665616e-05,2.4721142490826605e-05,2.4167988015976312e-05,1.9697972630987525e-05,2.4285163342717924e-05,2.8943183904498462e-05
11100,3.5839154455724165e-06,1.760964560365619e-05,2.339924612352786e-05,2.40575676488955e-05,2.380973673572153e-05,1.89055194321222e-05,2.4550859320269297e-05,3.0077940338701836e-05
11200,3.5858395865879284e-06,1.7583309959913463e-05,2.2938340282700078e-05,2.3404988842570162e-05,2.3509990655839894e-05,1.825002228935449e-05,2.488416817438852e-05,3.0544710369733784e-05
11300,3.5877531658293588e-06,1.755948630879973e-05,2.2481099343131967e-05,2.277099638495928e-05,2.3258965951162766e-05,1.7765617725214967e-05,2.5217209122611615e-05,3.0218125929066705e-05
11400,3.589656173844783e-06,1.7538157406123638e-05,2.2033967804923927e-05,2.2162818352952764e-05,2.30462359085587e-05,1.7473418791586384e-05,2.5480046651105068e-05,2.91165577283161e-05
11500,3.591548601311622e-06,1.75192975632106e-05,2.160345775314571e-05,2.1587068810134862e-05,2.2861209078871275e-05,1.7380375966544257e-05,2.5607032489281892e-05,2.7391317612672117e-05
11600,3.593430439036712e-06,1.750287288727834e-05,2.119580041424968e-05,2.1049543137619933e-05,2.269359276011479e-05,1.7478983802961233e-05,2.5543280074156195e-05,2.5264739115108036e-05
11700,3.595301677956386e-06,1.7488841543425676e-05,2.0816610290241407e-05,2.055507157724913e-05,2.2533822774370708e-05,1.7747507497512674e-05,2.525040867565953e-05,2.2953410746879524e-05
11800,3.5971623091365426e-06,1.747715403683023e-05,2.0470576186333944e-05,2.010743605575321e-05,2.2373443081807315e-05,1.8150766152328463e-05,2.4710654181700613e-05,2.0615488106182048e-05
11900,3.5990123237727203e-06,1.7467753513680387e-05,2.016119223576711e-05,1.9709349348358124e-05,2.2205421878772214e-05,1.864184850055302e-05,2.392861771489262e-05,1.833928255963372e-05
12000,3.600851713190162e-06,1.7460576079304562e-05,1.989054058466816e-05,1.9362490296915327e-05,2.202439428361203e-05,1.9165247668897415e-05,2.2930276173488893e-05,1.6163731322275857e-05
12100,3.602680468843879e-06,1.745555113190661e-05,1.9659135744283706e-05,1.906758460542018e-05,2.1826825355584148e-05,1.966168024359992e-05,2.17593337154926e-05,1.410820062477073e-05
12200,3.604498582318717e-06,1.7452601710270363e-05,1.946583871118427e-05,1.8824517989204872e-05,2.1611090857158924e-05,2.007434844907696e-05,2.047145365774235e-05,1.2193131563981709e-05
12300,3.6063060453294085e-06,1.745164485375939e-05,1.9307846728455146e-05,1.863246725579722e-05,2.1377476706936114e-05,2.0355798608713685e-05,1.912727910933403e-05,1.0445521099085886e-05
12400,3.608102849720636e-06,1.7452591972910264e-05,1.918076193679601e-05,1.8490035179580566e-05,2.1128101342105323e-05,2.0474076981611943e-05,1.7785347946497234e-05,8.893517143277687e-06
12500,3.6098889874670797e-06,1.745534922889916e-05,1.9078739094671603e-05,1.8395376603626196e-05,2.0866768095837313e-05,2.041679973083509e-05,1.6495988153782938e-05,7.557822912718578e-06
12600,3.6116644506734726e-06,1.745981792015254e-05,1.8994709039880758e-05,1.8346305779890422e-05,2.059875709645361e-05,2.0192118370446395e-05,1.5297046408972246e-05,6.4456436406045525e-06
12700,3.6134292315746444e-06,1.7465894874373536e-05,1.8920670711722366e-05,1.8340378218689434e-05,2.0330568035385388e-05,1.9826282818242783e-05,1.421191177105921e-05,5.549251632566587e-06
12800,3.6151833225355675e-06,1.747347284426563e-05,1.8848040536943393e-05,1.8374943923191906e-05,2.0069626380006752e-05,1.935834738466831e-05,1.324984352889269e-05,4.848486791093747e-06
12900,3.6169267160514013e-06,1.7482440905255485e-05,1.876804407527066e-05,1.8447172507137428e-05,1.9823966204769845e-05,1.8833249332945645e-05,1.2408207176558836e-05,4.315364291127855e-06
13000,3.618659404747532e-06,1.7492684853545972e-05,1.8672131358418084e-05,1.855405402860757e-05,1.9601902789897226e-05,1.829479820795926e-05,1.1675954719352673e-05,3.919015502172914e-06
13100,3.620381381379601e-06,1.75040876028696e-05,1.8552394705061283e-05,1.869238214399992e-05,1.941170753252378e-05,1.7779975027417058e-05,1.1037598191810054e-05,3.629784885853806e-06
13200,3.622092638833552e-06,1.751652957836022e-05,1.8401966299367808e-05,1.8858728157426938e-05,1.9261296601385492e-05,1.731544210174923e-05,1.0477005603634157e-05,3.42197073774787e-06
13300,3.6237931701256513e-06,1.752988910601807e-05,1.821537275899993e-05,1.9049415525806143e-05,1.9157943239269267e-05,1.6916504942883976e-05,9.980538615636383e-06,3.275199394501669e-06
13400,3.6254829684025184e-06,1.7544042796308398e-05,1.7988825452239454e-05,1.9260504262660096e-05,1.9108021793377006e-05,1.6588168089250724e-05,9.539273239604441e-06,3.174697855399333e-06
13500,3.627162026941158e-06,1.755886592050719e-05,1.7720428467634924e-05,1.9487793439412352e-05,1.9116789560134465e-05,1.6327547538069536e-05,9.15022965297456e-06,3.1108098542330424e-06
